Entry	Gene names	Gene names  (synonym )	Gene names  (ordered locus )	Organism ID
STM3704	gpmI pmgI STM3704	pmgI	STM3704	99287
STM3266	diaA STM3266		STM3266	99287
STM1069	matP STM1069		STM1069	99287
STM1722	trpL trpEE STM1722	trpEE	STM1722	99287
STM2031	cbiE STM2031		STM2031	99287
STM1485	asr STM1485		STM1485	99287
STM0185	gluQ STM0185		STM0185	99287
STM3939	cyaA cya STM3939 STMD1.50	cya	STM3939	99287
STM1193	fabH STM1193		STM1193	99287
STM1076	mgsA STM1076		STM1076	99287
STM3828	dgoD STM3828		STM3828	99287
STM0134	lpxC STM0134		STM0134	99287
STM2354	hisJ STM2354		STM2354	99287
STM3965	metE STM3965 STMD1.25		STM3965	99287
STM0141	guaC STM0141		STM0141	99287
STM3286	infB STM3286		STM3286	99287
STM1195	fabG STM1195		STM1195	99287
STM3359	mdh STM3359		STM3359	99287
STM1482	mdtJ STM1482		STM1482	99287
STM0985	lpxK STM0985		STM0985	99287
STM3624	bcsG STM3624		STM3624	99287
STM1619	STM1619		STM1619	99287
STM1179	flgG fla FVII flaL STM1179	fla FVII flaL	STM1179	99287
STM0364	foxA STM0364		STM0364	99287
STM4227	malG STM4227		STM4227	99287
STM2074	hisB STM2074		STM2074	99287
STM0483	apt STM0483		STM0483	99287
STM2366	accD STM2366		STM2366	99287
STM0077	fixC STM0077		STM0077	99287
STM2129	mdtD STM2129		STM2129	99287
STM1098	hpaC STM1098		STM1098	99287
STM1377	lpp1 lppA STM1377	lppA	STM1377	99287
STM4078	lsrF STM4078		STM4078	99287
STM2028	cbiG STM2028		STM2028	99287
STM3478	bigA STM3478		STM3478	99287
STM1196	acpP STM1196		STM1196	99287
STM4291	basS parB pmrB STM4291	parB pmrB	STM4291	99287
STM0872	grxA STM0872		STM0872	99287
STM2460	eutH STM2460		STM2460	99287
STM2262	eco STM2262		STM2262	99287
STM3997	dsbA STM3997		STM3997	99287
STM4190	pepE STM4190		STM4190	99287
STM2325	nuoE STM2325		STM2325	99287
STM1209	nagZ STM1209		STM1209	99287
STM2502	ppx STM2502		STM2502	99287
STM2395	pgtE prtA STM2395	prtA	STM2395	99287
STM2399	pgtP STM2399		STM2399	99287
STM1775	prmC hemK STM1775	hemK	STM1775	99287
STM3069	pgk STM3069		STM3069	99287
STM2526	ndk STM2526		STM2526	99287
STM1923	motA STM1923		STM1923	99287
STM0415	nrdR STM0415		STM0415	99287
STM4226	psiE STM4226		STM4226	99287
STM2841	norW flrR STM2841	flrR	STM2841	99287
STM4451	nrdG STM4451		STM4451	99287
STM1291	msrB STM1291		STM1291	99287
STM2477	nudK STM2477		STM2477	99287
STM2328	nuoA STM2328		STM2328	99287
STM4277	nrfA STM4277		STM4277	99287
STM0488	adk STM0488		STM0488	99287
STM1218	lolD STM1218		STM1218	99287
STM3908	ilvY STM3908 STMD1.82		STM3908	99287
STM4424	iolE STM4424		STM4424	99287
STM2078	hisI hisIE STM2078	hisIE	STM2078	99287
STM1227	pepT STM1227		STM1227	99287
STM0705	kdpB STM0705		STM0705	99287
STM1862	pagO STM1862		STM1862	99287
STM0684	nagB STM0684		STM0684	99287
STM0039	nhaA STM0039		STM0039	99287
STM2536	pepB STM2536		STM2536	99287
STM2187	preA yeiA STM2187	yeiA	STM2187	99287
STM3835	gyrB STM3835		STM3835	99287
STM2305	menE STM2305		STM2305	99287
STM1777	hemA STM1777		STM1777	99287
STM1154	mdtG STM1154		STM1154	99287
STM0955	aat STM0955		STM0955	99287
STM2881	iacP STM2881		STM2881	99287
STM2297	arnB pbgP pbgP1 pmrH STM2297	pbgP pbgP1 pmrH	STM2297	99287
STM3838	dnaA STM3838		STM3838	99287
STM2512	xseA STM2512		STM2512	99287
STM4323	dsbD STM4323		STM4323	99287
STM0980	cmk STM0980		STM0980	99287
STM0086	kefC STM0086		STM0086	99287
STM3282	pnp STM3282		STM3282	99287
STM1961	fliS STM1961		STM1961	99287
STM3054	gcvH STM3054		STM3054	99287
STM4073	lsrR STM4073		STM4073	99287
STM2309	menD STM2309		STM2309	99287
STM2432	ptsI STM2432		STM2432	99287
PSLT017	pefC PSLT017		PSLT017	99287
STM3174	parC STM3174		STM3174	99287
STM0113	leuA STM0113		STM0113	99287
STM0001	thrL STM0001		STM0001	99287
STM2126	mdtA STM2126		STM2126	99287
STM0430	phnR STM0430		STM0430	99287
STM3045	fldB STM3045		STM3045	99287
STM0651	kdgT2 STM0651		STM0651	99287
STM2075	hisH STM2075		STM2075	99287
STM2036	pocR STM2036		STM2036	99287
STM2870	orgA STM2870		STM2870	99287
STM3003	ptsP STM3003		STM3003	99287
STM3500	pckA pck STM3500	pck	STM3500	99287
STM1145	csgC agfC STM1145	agfC	STM1145	99287
STM1184	flgL flaT flaU STM1184	flaT flaU	STM1184	99287
STM2470	eutS STM2470		STM2470	99287
STM3524	glpG STM3524		STM3524	99287
STM0599	entH STM0599		STM0599	99287
STM4109	fsa STM4109		STM4109	99287
STM1067	fabA STM1067		STM1067	99287
STM0194	fhuB STM0194		STM0194	99287
STM2337	ackA STM2337		STM2337	99287
STM0227	fabZ STM0227		STM0227	99287
STM4570	deoD STM4570		STM4570	99287
STM1803	dadA STM1803		STM1803	99287
STM2189	mglA STM2189		STM2189	99287
STM0264	dnaQ mutD STM0264	mutD	STM0264	99287
STM2978	fucU STM2978		STM2978	99287
STM3535	glgA STM3535		STM3535	99287
STM3538	glgB STM3538		STM3538	99287
STM4544	dnaT STM4544		STM4544	99287
STM1512	dcp STM1512		STM1512	99287
STM1713	cysB STM1713		STM1713	99287
STM0224	bamA yaeT STM0224	yaeT	STM0224	99287
STM0542	folD STM0542		STM0542	99287
STM2458	eutB STM2458		STM2458	99287
STM0584	entD STM0584		STM0584	99287
STM4340	frdD STM4340		STM4340	99287
STM3249	garL STM3249		STM3249	99287
STM2817	luxS STM2817		STM2817	99287
STM2494	bepA yfgC STM2494	yfgC	STM2494	99287
STM0101	araD STM0101		STM0101	99287
STM3583	acpT STM3583		STM3583	99287
STM2454	eutR STM2454		STM2454	99287
STM0422	dxs STM0422		STM0422	99287
STM4333	epmB yjeK STM4333	yjeK	STM4333	99287
STM1973	fliJ flaO flaS STM1973	flaO flaS	STM1973	99287
STM0055; STM3352	oadA1 oadA STM0055; oadA2 STM3352	oadA; 	STM0055; STM3352	99287
STM0797	bioD1 STM0797		STM0797	99287
STM3384	dusB STM3384		STM3384	99287
STM2466	eutD eutI STM2466	eutI	STM2466	99287
STM0546	fimD STM0546		STM0546	99287
STM4061	fieF STM4061		STM4061	99287
STM1962	fliT STM1962		STM1962	99287
STM3070	epd STM3070		STM3070	99287
STM2800	alaE STM2800		STM2800	99287
STM1963	amyA STM1963		STM1963	99287
STM1981	fliR flaP STM1981	flaP	STM1981	99287
STM2948	cysJ STM2948		STM2948	99287
STM4167	hemE STM4167 STMF1.21		STM4167	99287
STM1495	dmsD STM1495		STM1495	99287
STM1919	tar cheM STM1919	cheM	STM1919	99287
STM4105	metF STM4105		STM4105	99287
STM1489	bioD2 ynfK STM1489	ynfK	STM1489	99287
STM4138	birA STM4138 STMF1.2		STM4138	99287
STM4122	argB STM4122		STM4122	99287
STM0146	ampD STM0146		STM0146	99287
STM4415	fbp STM4415		STM4415	99287
STM0380	ddlA STM0380		STM0380	99287
STM0202	hemL STM0202		STM0202	99287
STM2977	fucK STM2977		STM2977	99287
STM3536	glgC STM3536		STM3536	99287
STM2302	arnE STM2302		STM2302	99287
STM1347	aroH STM1347		STM1347	99287
STM3668	dlgD STM3668		STM3668	99287
STM1446	anmK STM1446		STM1446	99287
STM0694	fldA STM0694		STM0694	99287
STM1809	gns STM1809		STM1809	99287
STM2455	eutK STM2455		STM2455	99287
STM2456	eutL STM2456		STM2456	99287
STM0547	fimH STM0547		STM0547	99287
STM4338	gdx sugE STM4338	sugE	STM4338	99287
STM1924	flhC STM1924		STM1924	99287
STM4001	engB STM4001		STM4001	99287
STM3905	ilvA STM3905 STMD1.87		STM3905	99287
STM1840	mgrB STM1840		STM1840	99287
STM2539	hscA STM2539		STM2539	99287
STM4184	aceA STM4184		STM4184	99287
STM1144	csgA agfA STM1144	agfA	STM1144	99287
STM1139	csgG STM1139		STM1139	99287
STM2859	fhlA STM2859		STM2859	99287
STM1975	fliL cheC1 fla AI fla QI STM1975	cheC1 fla AI fla QI	STM1975	99287
STM4182	metAS metA STM4182	metA	STM4182	99287
STM0593	entS STM0593		STM0593	99287
STM3947	dapF STM3947 STMD1.43		STM3947	99287
STM2104	manB cpsG rfbL STM2104	cpsG rfbL	STM2104	99287
STM1814	minC STM1814		STM1814	99287
STM3900	ilvL STM3900 STMD1.92		STM3900	99287
STM2651	pat yfiQ STM2651	yfiQ	STM2651	99287
STM3336	nanK STM3336		STM3336	99287
STM1834	mntP yebN STM1834	yebN	STM1834	99287
STM3727	rpmG STM3727		STM3727	99287
STM0645	nadD STM0645		STM0645	99287
STM2259	napA STM2259		STM2259	99287
STM3353	oadG2 oadG STM3353	oadG	STM3353	99287
STM2397	pgtB STM2397		STM2397	99287
STM0766	oadG3 dcoC STM0766	dcoC	STM0766	99287
STM1189	yceF STM1189		STM1189	99287
STM1970	fliG fla AII.2 fla BII STM1970	fla AII.2 fla BII	STM1970	99287
STM4079	lsrG STM4079		STM4079	99287
STM3537	glgX STM3537		STM3537	99287
STM2489	dapA STM2489		STM2489	99287
STM3515	malT STM3515		STM3515	99287
STM0487	htpG STM0487		STM0487	99287
STM4319	phoN STM4319		STM4319	99287
STM2063	phsC STM2063		STM2063	99287
STM0431	phnW STM0431		STM0431	99287
STM1192	plsX STM1192		STM1192	99287
STM1745	oppB STM1745		STM1745	99287
STM4148	nusG STM4148 STMF1.7		STM4148	99287
STM2441	cysA STM2441		STM2441	99287
STM2070.1	hisL STM2070.1		STM2070.1	99287
STM2897	invE STM2897		STM2897	99287
STM2582	lepB STM2582		STM2582	99287
STM3458	kefG STM3458		STM3458	99287
STM2839	norR STM2839		STM2839	99287
STM1910	mrdA pbpA STM1910	pbpA	STM1910	99287
STM2433	crr STM2433		STM2433	99287
STM1220	nagK ycfX STM1220	ycfX	STM1220	99287
STM0322	proA STM0322		STM0322	99287
STM3005	mutH STM3005		STM3005	99287
STM2206	fruB fpr fruF STM2206	fpr fruF	STM2206	99287
STM3476	nirC STM3476		STM3476	99287
STM4235	plsB STM4235		STM4235	99287
STM2323	nuoG STM2323		STM2323	99287
STM0320	phoE STM0320		STM0320	99287
STM4408	msrA STM4408		STM4408	99287
STM3383	prmA STM3383		STM3383	99287
STM0391	ppnP STM0391		STM0391	99287
STM4230	malK STM4230		STM4230	99287
STM3339	nanA STM3339		STM3339	99287
STM3854	pstB STM3854		STM3854	99287
STM3204	cca STM3204		STM3204	99287
STM1112	cbpA STM1112		STM1112	99287
STM4439	cybC STM4439		STM4439	99287
STM1979	fliP flaR STM1979	flaR	STM1979	99287
STM3983	fadB STM3983 STMD1.6		STM3983	99287
STM1234	mnmA trmU STM1234	trmU	STM1234	99287
STM0670	miaB STM0670		STM0670	99287
STM3442	hopD STM3442		STM3442	99287
STM4465	arcB STM4465		STM4465	99287
STM1221	cobB STM1221		STM1221	99287
STM3468	argD dapC dtu STM3468	dapC dtu	STM3468	99287
STM1597	prr STM1597		STM1597	99287
STM1317	chbG STM1317		STM1317	99287
STM1180	flgH fla FVIII flaY STM1180	fla FVIII flaY	STM1180	99287
STM0094	djlA STM0094		STM0094	99287
STM3210	dnaG STM3210		STM3210	99287
STM0114	leuL leuLP STM0114	leuLP	STM0114	99287
STM0226	lpxD firA ssc STM0226	firA ssc	STM0226	99287
STM1339	ihfA himA STM1339	himA	STM1339	99287
STM0711	ybgI STM0711		STM0711	99287
STM3161	metC STM3161		STM3161	99287
STM4237	lexA STM4237		STM4237	99287
STM3904	ilvD STM3904 STMD1.88		STM3904	99287
STM0229	lpxB STM0229		STM0229	99287
STM3739	ligB STM3739		STM3739	99287
STM0112	leuB STM0112		STM0112	99287
STM3614	dctA STM3614		STM3614	99287
STM2427	ligA STM2427		STM2427	99287
STM4334	efp STM4334		STM4334	99287
STM2076	hisA STM2076		STM2076	99287
STM0247	metN1 STM0247		STM0247	99287
STM3639	lpfB STM3639		STM3639	99287
STM3694	lldD STM3694		STM3694	99287
STM3144	hybF STM3144		STM3144	99287
STM3401	aroE STM3401		STM3401	99287
STM2459	eutA STM2459		STM2459	99287
STM2729	STM2729		STM2729	99287
STM4228	malF STM4228		STM4228	99287
STM4170	hupA STM4170 STMF1.24		STM4170	99287
STM0774	galK STM0774		STM0774	99287
STM4091	hslU STM4091		STM4091	99287
STM2556	hmp frsB hmpA STM2556	frsB hmpA	STM2556	99287
STM3808	ibpB STM3808		STM3808	99287
STM2540	hscB STM2540		STM2540	99287
STM4471	miaE STM4471		STM4471	99287
STM0644	cobD STM0644		STM0644	99287
STM1517	eamA STM1517		STM1517	99287
STM3194	dsbI STM3194		STM3194	99287
STM1816	minE STM1816		STM1816	99287
STM0514	allS STM0514		STM0514	99287
STM0071	caiC STM0071		STM0071	99287
STM3407	fmt STM3407		STM3407	99287
STM3649	cspA STM3649		STM3649	99287
STM3470	fic STM3470		STM3470	99287
STM0772	gpmA STM0772		STM0772	99287
STM3009	lplT STM3009		STM3009	99287
STM2900	invH STM2900		STM2900	99287
STM4106	katG STM4106		STM4106	99287
STM1906	cmoB STM1906		STM1906	99287
STM3503	greB STM3503		STM3503	99287
STM2555	glyA STM2555		STM2555	99287
STM3446	fusA STM3446		STM3446	99287
STM2947	cysI STM2947		STM2947	99287
STM0093	lptD imp ostA STM0093	imp ostA	STM0093	99287
STM3909	ilvC STM3909 STMD1.81		STM3909	99287
STM0449	clpX STM0449		STM0449	99287
STM2483	dapE STM2483		STM2483	99287
STM0213	dapD STM0213		STM0213	99287
STM2127	mdtB STM2127		STM2127	99287
STM3484	dam STM3484		STM3484	99287
STM0088	apaH STM0088		STM0088	99287
STM3862	glmU STM3862		STM3862	99287
STM3617	bcsZ bcsC celC STM3617	bcsC celC	STM3617	99287
STM4361	hfq STM4361		STM4361	99287
STM3640	lpfA STM3640		STM3640	99287
STM0787	hutI STM0787		STM0787	99287
STM1778	lolB hemM STM1778	hemM	STM1778	99287
STM2451	hemF STM2451		STM2451	99287
STM2272	gyrA STM2272		STM2272	99287
STM2877	iagB STM2877		STM2877	99287
STM3880	kup STM3880		STM3880	99287
STM0161	kdgT1 kdgT STM0161	kdgT	STM0161	99287
STM2396	pgtA STM2396		STM2396	99287
STM3584	nikR STM3584		STM3584	99287
STM0056	oadG1 STM0056		STM0056	99287
STM2295	nudI STM2295		STM2295	99287
STM3472	ppiA rot rotA STM3472	rot rotA	STM3472	99287
STM4137	murB STM4137 STMF1.1		STM4137	99287
STM0993	mukE STM0993		STM0993	99287
STM0184	pcnB STM0184		STM0184	99287
STM2805	nrdH STM2805		STM2805	99287
STM1922	motB STM1922		STM1922	99287
STM3200	hldE rfaE waaE STM3200	rfaE waaE	STM3200	99287
STM3495	igaA STM3495		STM3495	99287
STM2071	hisG STM2071		STM2071	99287
STM0117	ilvH STM0117		STM0117	99287
STM2899	invF STM2899		STM2899	99287
STM2496	hda STM2496		STM2496	99287
STM2541	iscA STM2541		STM2541	99287
STM1980	fliQ flaQ STM1980	flaQ	STM1980	99287
STM4341	frdC STM4341		STM4341	99287
STM3482	gph STM3482		STM3482	99287
STM2430	cysK STM2430		STM2430	99287
STM2440	cysM STM2440		STM2440	99287
STM0451	hupB STM0451		STM0451	99287
STM0246	metI STM0246		STM0246	99287
STM4576	lplA STM4576		STM4576	99287
STM1079	hspQ STM1079		STM1079	99287
STM3938	hemC STM3938 STMD1.53		STM3938	99287
STM4455.1	mgtL STM4455.1		STM4455.1	99287
STM0982	ihfB himD STM0982	himD	STM0982	99287
STM4461	pyrL STM4461		STM4461	99287
STM0635	lipB STM0635		STM0635	99287
STM3018	kduI STM3018		STM3018	99287
STM4425	iolG STM4425		STM4425	99287
STM0633	lipA STM0633		STM0633	99287
STM0115	leuO STM0115		STM0115	99287
STM2160	mlrA STM2160		STM2160	99287
STM3564	livK livC STM3564	livC	STM3564	99287
STM4580	nadR nadI pnuA STM4580	nadI pnuA	STM4580	99287
STM3686	mtlD STM3686		STM3686	99287
STM0426	phnV STM0426		STM0426	99287
STM4517	mdtM STM4517		STM4517	99287
STM2408	mntH STM2408		STM2408	99287
STM4076	lsrD STM4076		STM4076	99287
STM3316	kdsC STM3316		STM3316	99287
STM1483	mdtI STM1483		STM1483	99287
STM2398	pgtC STM2398		STM2398	99287
STM0432	phnX STM0432		STM0432	99287
STM3410	mscL STM3410		STM3410	99287
STM2324	nuoF STM2324		STM2324	99287
STM3539	asd STM3539		STM3539	99287
STM0131	ftsQ STM0131		STM0131	99287
STM1983	dsrB STM1983		STM1983	99287
STM3043	dsbC STM3043		STM3043	99287
STM4232	malM STM4232		STM4232	99287
STM2019	cbiP STM2019		STM2019	99287
STM2035	cbiA STM2035		STM2035	99287
STM2018	cobU STM2018		STM2018	99287
STM2298	arnC pbgP2 pmrF STM2298	pbgP2 pmrF	STM2298	99287
STM4072	lsrK STM4072		STM4072	99287
STM2351	hisP STM2351		STM2351	99287
STM2548	asrA STM2548		STM2548	99287
STM4292	basR parA pmrA STM4292	parA pmrA	STM4292	99287
STM4275	acs STM4275		STM4275	99287
STM3406	def fms STM3406	fms	STM3406	99287
STM2472	maeB STM2472		STM2472	99287
STM2029	cbiF STM2029		STM2029	99287
STM4120	argE STM4120		STM4120	99287
STM0104	araC STM0104		STM0104	99287
STM0545	fimC STM0545		STM0545	99287
STM1914	flhB STM1914		STM1914	99287
STM0248	gmhB STM0248		STM0248	99287
STM1182	flgJ fla FX flaZ STM1182	fla FX flaZ	STM1182	99287
STM1971	fliH fla AII.3 fla BIII STM1971	fla AII.3 fla BIII	STM1971	99287
STM3865	atpD STM3865		STM3865	99287
STM1111	cbpM STM1111		STM1111	99287
STM0457	cof STM0457		STM0457	99287
STM3867	atpA STM3867		STM3867	99287
STM1083	yccX STM1083		STM1083	99287
STM1956	fliA STM1956		STM1956	99287
STM2015	erfK srfK STM2015	srfK	STM2015	99287
STM3506	feoB STM3506		STM3506	99287
STM0121	ftsL STM0121		STM0121	99287
STM3868	atpH STM3868		STM3868	99287
STM2265	ada STM2265		STM2265	99287
STM1564	bdm STM1564		STM1564	99287
STM0208	dgt STM0208		STM0208	99287
STM4246	dnaB STM4246		STM4246	99287
STM4086	glpK STM4086		STM4086	99287
STM3501	envZ STM3501		STM3501	99287
STM1097	hiuH STM1097		STM1097	99287
STM3486	aroB STM3486		STM3486	99287
STM0073	caiA STM0073		STM0073	99287
STM2174	dusC STM2174		STM2174	99287
STM4585	gpmB STM4585		STM4585	99287
STM2952	eno STM2952		STM2952	99287
STM0776	galE STM0776		STM0776	99287
STM2248; STM3813	dsbE1 ccmG1 STM2248; dsbE2 ccmG2 STM3813	ccmG1; ccmG2	STM2248; STM3813	99287
STM4273	actP STM4273		STM4273	99287
STM1921	cheA STM1921		STM1921	99287
STM0643	cobC STM0643		STM0643	99287
STM0232	accA STM0232		STM0232	99287
STM1905	cmoA STM1905		STM1905	99287
STM2826	csrA zfiA STM2826	zfiA	STM2826	99287
STM0812	clsB ybhO STM0812	ybhO	STM0812	99287
STM3837	dnaN STM3837		STM3837	99287
STM2022	cbiN STM2022		STM2022	99287
STM1304	astA STM1304		STM1304	99287
STM0550	fimY STM0550		STM0550	99287
STM1960	fliD flaV flbC STM1960	flaV flbC	STM1960	99287
STM0075	fixA STM0075		STM0075	99287
STM0204	erpA STM0204		STM0204	99287
STM1807	dsbB STM1807		STM1807	99287
STM2128	mdtC STM2128		STM2128	99287
STM4188	metH STM4188		STM4188	99287
STM2166	bglX STM2166		STM2166	99287
STM4121	argC STM4121		STM4121	99287
STM3510	gntX STM3510		STM3510	99287
STM3726	mutM fpg STM3726	fpg	STM3726	99287
STM3861	glmS STM3861		STM3861	99287
STM4099	metJ STM4099		STM4099	99287
STM0261	gloB STM0261		STM0261	99287
STM1987	dgcQ yedQ STM1987	yedQ	STM1987	99287
STM1290	gapA gap STM1290	gap	STM1290	99287
STM3943	cyaY STM3943 STMD1.45		STM3943	99287
STM2838	gutQ STM2838		STM2838	99287
STM2026	cbiJ STM2026		STM2026	99287
STM2025	cbiK STM2025		STM2025	99287
STM2646	grcA STM2646		STM2646	99287
STM0162	dtnK STM0162		STM0162	99287
STM1521	marC STM1521		STM1521	99287
STM2188	mglC STM2188		STM2188	99287
STM0795	bioF STM0795		STM0795	99287
STM1172	flgM flgR mviS STM1172	flgR mviS	STM1172	99287
STM2457	eutC STM2457		STM2457	99287
STM4127	fabR STM4127		STM4127	99287
STM2645	eamB STM2645		STM2645	99287
STM1972	fliI fla AIII flaC STM1972	fla AIII flaC	STM1972	99287
STM3982	fadA STM3982 STMD1.7		STM3982	99287
STM1907	cutC STM1907		STM1907	99287
STM2934	cysN STM2934		STM2934	99287
STM2463	eutE STM2463		STM2463	99287
STM2462	eutJ STM2462		STM2462	99287
STM2465	eutM cchA STM2465	cchA	STM2465	99287
STM0313	dinB dinP STM0313	dinP	STM0313	99287
STM1302	xthA STM1302		STM1302	99287
STM0214	glnD STM0214		STM0214	99287
STM2789	glaH csiD STM2789	csiD	STM2789	99287
STM3299	greA STM3299		STM3299	99287
STM3740	gmk STM3740		STM3740	99287
STM3620	bcsQ STM3620		STM3620	99287
STM2770	fljA STM2770		STM2770	99287
STM3095	gshB STM3095		STM3095	99287
STM1518	marB STM1518		STM1518	99287
STM0374	iprA yaiV STM0374	yaiV	STM0374	99287
STM0170	hpt STM0170		STM0170	99287
STM1435	gloA STM1435		STM1435	99287
STM4077	lsrB STM4077		STM4077	99287
STM3710	hldD rfaD STM3710	rfaD	STM3710	99287
STM2384	aroC STM2384		STM2384	99287
STM4569	deoB STM4569		STM4569	99287
STM2107	gmm nudD wcaH STM2107	nudD wcaH	STM2107	99287
STM2353	hisQ STM2353		STM2353	99287
STM3002	lgt STM3002		STM3002	99287
STM0116	ilvI STM0116		STM0116	99287
STM0647	lptE rlpB STM0647	rlpB	STM0647	99287
STM0944	clpS STM0944		STM0944	99287
STM1140	csgF STM1140		STM1140	99287
STM0544	fimI STM0544		STM0544	99287
STM0549	fimZ STM0549		STM0549	99287
STM1178	flgF fla FVI flaX STM1178	fla FVI flaX	STM1178	99287
STM1181	flgI fla FIX flaM STM1181	fla FIX flaM	STM1181	99287
STM0209	degP htrA ptd STM0209	htrA ptd	STM0209	99287
STM3979	fre ubiB STM3979 STMD1.10	ubiB	STM3979	99287
STM1590	yncA STM1590		STM1590	99287
STM2306	menC STM2306		STM2306	99287
STM2929	ispF STM2929		STM2929	99287
STM1110	iraM rssC STM1110	rssC	STM1110	99287
STM3103	rdgB yggV STM3103	yggV	STM3103	99287
STM4038	fdhD STM4038		STM4038	99287
STM0988	kdsB STM0988		STM0988	99287
STM3315	kdsD STM3315		STM3315	99287
STM2898	invG STM2898		STM2898	99287
STM1299	gdhA STM1299		STM1299	99287
STM1978	fliO flaP flbD STM1978	flaP flbD	STM1978	99287
STM2211	yeiP STM2211		STM2211	99287
STM3296	ftsH hflB STM3296	hflB	STM3296	99287
STM3130	iraD STM3130		STM3130	99287
STM0535	lpxH STM0535		STM0535	99287
STM3699	cysE STM3699		STM3699	99287
STM4229	malE STM4229		STM4229	99287
STM1467	manA pmi STM1467	pmi	STM1467	99287
STM0706	kdpA STM0706		STM0706	99287
STM2670	aroF STM2670		STM2670	99287
STM2371	flk STM2371		STM2371	99287
STM4007	glnA STM4007		STM4007	99287
STM1452	dtpA tppB STM1452	tppB	STM1452	99287
STM3498	hslO STM3498		STM3498	99287
STM2105	manC cpsB STM2105	cpsB	STM2105	99287
STM3173	plsC parF STM3173	parF	STM3173	99287
