Entry	Gene names	Gene names  (synonym )	Gene names  (ordered locus )	Organism ID
STM1440	sodC sodC2 STM1440	sodC2	STM1440	99287
STM3591	uspA STM3591		STM3591	99287
STM2040	pduC STM2040		STM2040	99287
STM1711	ribA STM1711		STM1711	99287
STM3912	rep STM3912 STMD1.79		STM3912	99287
STM4560	prfC STM4560		STM4560	99287
STM4355	queG STM4355		STM4355	99287
STM3063	rpiA STM3063		STM3063	99287
STM2097	rfbB STM2097		STM2097	99287
STM4096	rpmE STM4096		STM4096	99287
STM2883	sipD sspD STM2883	sspD	STM2883	99287
STM1901	aspS STM1901		STM1901	99287
STM4523	symE STM4523		STM4523	99287
STM1855	sopE2 STM1855		STM1855	99287
STM0832	rhtA STM0832		STM0832	99287
STM1895	ruvA STM1895		STM1895	99287
STM4159	thiH STM4159 STMF1.38		STM4159	99287
STM2473	talA STM2473		STM2473	99287
STM3972	ubiB aarF STM3972 STMD1.17	aarF	STM3972	99287
STM1419	yscR STM1419		STM1419	99287
STM1699	ycjE STM1699		STM1699	99287
STM1684	ycjF STM1684		STM1684	99287
STM4027	yihY STM4027		STM4027	99287
STM3953	yigF STM3953 STMD1.37		STM3953	99287
STM1998	umuD STM1998		STM1998	99287
STM4240	yjbJ STM4240		STM4240	99287
STM1373	sufS STM1373		STM1373	99287
STM3481	trpS STM3481		STM3481	99287
STM3898	yifE STM3898 STMD1.96		STM3898	99287
STM4366	purA STM4366		STM4366	99287
STM4022	yihT STM4022		STM4022	99287
STM2545	trmJ STM2545		STM2545	99287
STM0946; STM1957; STM2471; STM3032; STM3479; STM4311	tnpA1 STM0946; tnpA2 STM1957; tnpA3 STM2471; tnpA4 STM3032; tnpA5 STM3479; tnpA6 STM4311	; ; ; ; ; 	STM0946; STM1957; STM2471; STM3032; STM3479; STM4311	99287
STM1420	ssaS STM1420		STM1420	99287
STM2785	tctD STM2785		STM2785	99287
STM4248	tyrB STM4248		STM4248	99287
STM2001	mtfA STM2001		STM2001	99287
STM4195	panS STM4195		STM4195	99287
STM4175	purD STM4175 STMF1.31		STM4175	99287
STM2431	ptsH hpr STM2431	hpr	STM2431	99287
STM0513	selU mnmH STM0513	mnmH	STM0513	99287
STM4266	soxR STM4266		STM4266	99287
STM2827	alaS STM2827		STM2827	99287
PSLT066	ssb2 PSLT066		PSLT066	99287
STM2147	thiM STM2147		STM2147	99287
STM3243	tdcC STM3243		STM3243	99287
STM3848	yidZ STM3848		STM3848	99287
STM4392	priB STM4392		STM4392	99287
STM0875	rimK STM0875		STM0875	99287
STM3423	rpsE STM3423		STM3423	99287
STM2894	spaL invC spaI STM2894	invC spaI	STM2894	99287
STM3788	uhpC STM3788		STM3788	99287
STM2079	wzzB cld rol STM2079	cld rol	STM2079	99287
STM1456	rsxD STM1456		STM1456	99287
STM2892	spaN invJ STM2892	invJ	STM2892	99287
STM4254	uvrA STM4254		STM4254	99287
STM0216	rpsB STM0216		STM0216	99287
STM1629	steB STM1629		STM1629	99287
STM2276	ubiG STM2276		STM2276	99287
STM2522	hisS STM2522		STM2522	99287
STM1333	thrS STM1333		STM1333	99287
STM0734	sdhA STM0734		STM0734	99287
STM2287	sseL STM2287		STM2287	99287
STM3683	selA STM3683		STM3683	99287
STM3205	uppP bacA upk STM3205	bacA upk	STM3205	99287
STM3285	rbfA STM3285		STM3285	99287
STM4147	secE STM4147 STMF1.6		STM4147	99287
STM0648	leuS STM0648		STM0648	99287
STM1695	sapD STM1695		STM1695	99287
STM3434	rpsC STM3434		STM3434	99287
STM3044	xerD STM3044		STM3044	99287
STM1656	zntB STM1656		STM1656	99287
STM2224	rplY STM2224		STM2224	99287
STM1682	tpx STM1682		STM1682	99287
STM2207	setB STM2207		STM2207	99287
STM2927	surE STM2927		STM2927	99287
STM3092	sprT STM3092		STM3092	99287
STM3431	rpsQ STM3431		STM3431	99287
STM2099	wcaM STM2099		STM2099	99287
STM3918	wecA rfe STM3918 STMD1.72	rfe	STM3918	99287
STM3920	wecB rffE STM3920 STMD1.70	rffE	STM3920	99287
STM1210	ycfP STM1210		STM1210	99287
STM4545	yjjB STM4545		STM4545	99287
STM3171	ygiK STM3171		STM3171	99287
STM0953	infA STM0953		STM0953	99287
STM3288	rimP STM3288		STM3288	99287
STM0470	rpmJ2 rpmJ STM0470	rpmJ	STM0470	99287
STM3448	rpsL strA STM3448	strA	STM3448	99287
STM1409	ssaJ STM1409		STM1409	99287
STM1413	ssaM STM1413		STM1413	99287
STM2674	trmD STM2674		STM2674	99287
STM2484	ypfN STM2484		STM2484	99287
STM4455	treR STM4455		STM4455	99287
STM1345	selO STM1345		STM1345	99287
STM3284	truB STM3284		STM3284	99287
STM2155	metG STM2155		STM2155	99287
STM1735	yciB STM1735		STM1735	99287
STM1839	yebO STM1839		STM1839	99287
STM1966	yedF STM1966		STM1966	99287
STM2386	yfcN STM2386		STM2386	99287
STM0852	rimO STM0852		STM0852	99287
STM2086	rfbU STM2086		STM2086	99287
STM3836	recF STM3836		STM3836	99287
STM4290	proP STM4290		STM4290	99287
STM3340	nanR STM3340		STM3340	99287
STM3429	rplX STM3429		STM3429	99287
STM3225	sstT STM3225		STM3225	99287
STM1444	slyA STM1444		STM1444	99287
STM2356	ubiX STM2356		STM2356	99287
STM0090	rsmA ksgA STM0090	ksgA	STM0090	99287
PSLT041	mkaC mkfC spvR vagA PSLT041	mkfC spvR vagA	PSLT041	99287
STM3471	yhfG STM3471		STM3471	99287
STM2452	ypfK STM2452		STM2452	99287
STM3110	mutY mutB STM3110	mutB	STM3110	99287
STM1222	potD STM1222		STM1222	99287
STM3378	msrQ STM3378		STM3378	99287
STM2917	otnK ygbK STM2917	ygbK	STM2917	99287
STM3218	patA STM3218		STM3218	99287
STM3719	rfaB waaB STM3719	waaB	STM3719	99287
STM4382	ulaG STM4382		STM4382	99287
STM1455	rsxG STM1455		STM1455	99287
STM2799	stpA STM2799		STM2799	99287
STM3790	uhpA STM3790		STM3790	99287
STM3968	udp STM3968 STMD1.21		STM3968	99287
STM1077	yccT STM1077		STM1077	99287
STM1927	uspC uspS STM1927	uspS	STM1927	99287
STM0258	yafD STM0258		STM0258	99287
STM0495	ybaK STM0495		STM0495	99287
STM4473	yjgM STM4473		STM4473	99287
STM3789	uhpB STM3789		STM3789	99287
STM3559	yefM yhhV STM3559	yhhV	STM3559	99287
STM4384	ulaB STM4384		STM4384	99287
PSLT037	vsdE spvD PSLT037	spvD	PSLT037	99287
STM3921	wecC rffD STM3921 STMD1.69	rffD	STM3921	99287
STM3729	yicR STM3729		STM3729	99287
STM3463	yheU STM3463		STM3463	99287
PSLT049	PSLT049		PSLT049	99287
STM3603	treF STM3603		STM3603	99287
STM4163	thiE STM4163 STMF1.34		STM4163	99287
STM3841	yidD STM3841		STM3841	99287
STM4428	STM4428		STM4428	99287
STM1881	yebF STM1881		STM1881	99287
STM3930	yifK STM3930 STMD1.58		STM3930	99287
STM1997	umuC STM1997		STM1997	99287
STM2227	yejL STM2227		STM2227	99287
STM1084	tusE STM1084		STM1084	99287
STM1652	uspF STM1652		STM1652	99287
STM1841	yobH STM1841		STM1841	99287
STM3765	yicL STM3765		STM3765	99287
STM3974	tatB STM3974 STMD1.15		STM3974	99287
STM1898	ruvC STM1898		STM1898	99287
STM2061	sbmC gyrI STM2061	gyrI	STM2061	99287
STM0357	mod STM0357		STM0357	99287
STM0358	res STM0358		STM0358	99287
STM3973	tatA STM3973 STMD1.16		STM3973	99287
STM4577	smp STM4577		STM4577	99287
STM3404	smg STM3404		STM3404	99287
STM4525	hsdM hsdT STM4525	hsdT	STM4525	99287
STM3518	rtcA STM3518		STM3518	99287
PSLT055	samA PSLT055		PSLT055	99287
STM0686	glnS STM0686		STM0686	99287
STM1359	ydiB STM1359		STM1359	99287
STM0798	uvrB STM0798		STM0798	99287
STM2122	udk STM2122		STM2122	99287
STM3238	yhaM STM3238		STM3238	99287
STM2439	yfeL STM2439		STM2439	99287
STM0759	ybgS STM0759		STM0759	99287
STM1740	yciU STM1740		STM1740	99287
STM4051	yiiY STM4051		STM4051	99287
STM3555	ugpE STM3555		STM3555	99287
STM1586	yncE STM1586		STM1586	99287
STM4399	ytfE STM4399		STM4399	99287
STM0930	ybjQ STM0930		STM0930	99287
STM3242	tdcD oxd-2 STM3242	oxd-2	STM3242	99287
STM1736	yciA STM1736		STM1736	99287
STM0758	zitB STM0758		STM0758	99287
